,Unnamed: 0,customer,merchant,date,amount
171,171,Brittney Perritt,Bednar,2019-02-10,52.25
172,172,Brittney Perritt,Bogan,2019-02-11,24.05
173,173,Brittney Perritt,Abernathy,2019-02-11,16.2
174,174,Brittney Perritt,Bogan,2019-02-11,24.05
175,175,Brittney Perritt,Abernathy,2019-02-11,16.2
176,176,Brittney Perritt,Berge,2019-02-11,6.0
177,177,Brittney Perritt,Bogan,2019-02-11,26.24
178,178,Brittney Perritt,Bednar,2019-02-11,52.25
179,179,Brittney Perritt,Bogan,2019-02-11,26.24
180,180,Brittney Perritt,Brown,2019-02-11,2.45
181,181,Brittney Perritt,Bednar,2019-02-13,7.1
182,182,Brittney Perritt,Bednar,2019-02-13,7.1
183,183,Brittney Perritt,Aufderhar,2019-02-13,85.11
184,184,Brittney Perritt,Aufderhar,2019-02-13,85.11
185,185,Brittney Perritt,Berge,2019-02-14,8.96
186,186,Brittney Perritt,Berge,2019-02-14,8.96
187,187,Brittney Perritt,Abernathy,2019-02-14,4.45
188,188,Brittney Perritt,Abernathy,2019-02-14,4.45
189,189,Brittney Perritt,Bednar,2019-02-15,23.64
190,190,Brittney Perritt,Cartwright,2019-02-15,8.67
191,191,Brittney Perritt,Cartwright,2019-02-15,8.67
192,192,Brittney Perritt,Bednar,2019-02-15,23.64
194,194,Brittney Perritt,Dibbert,2019-02-18,2.15
195,195,Brittney Perritt,Bogan,2019-02-18,49.49
196,196,Brittney Perritt,Bogan,2019-02-18,49.49
197,197,Brittney Perritt,Conn,2019-02-18,10.3
198,198,Brittney Perritt,Dibbert,2019-02-18,2.15
199,199,Brittney Perritt,Conn,2019-02-18,1.0
200,200,Brittney Perritt,Dicki,2019-02-18,35.99
201,201,Brittney Perritt,Dicki,2019-02-18,5.98
202,202,Brittney Perritt,Christiansen,2019-02-18,13.91
203,203,Brittney Perritt,Christiansen,2019-02-18,11.27
204,204,Brittney Perritt,Conn,2019-02-18,1.0
205,205,Brittney Perritt,Dicki,2019-02-18,35.99
206,206,Brittney Perritt,Dicki,2019-02-18,5.98
207,207,Brittney Perritt,Champlin,2019-02-18,23.0
208,208,Brittney Perritt,Conn,2019-02-18,10.3
209,209,Brittney Perritt,Berge,2019-02-19,279.99
210,210,Brittney Perritt,Berge,2019-02-19,279.99
211,211,Brittney Perritt,Aufderhar,2019-02-20,91.46
212,212,Brittney Perritt,Aufderhar,2019-02-20,91.46
213,213,Brittney Perritt,Bednar,2019-02-21,6.23
214,214,Brittney Perritt,Cole,2019-02-21,115.18
215,215,Brittney Perritt,Bednar,2019-02-21,6.23
216,216,Brittney Perritt,Conroy,2019-02-22,79.0
217,217,Brittney Perritt,Donnelly,2019-02-22,1.5
218,218,Brittney Perritt,Dooley,2019-02-22,3.99
219,219,Brittney Perritt,Bogan,2019-02-22,19.29
220,220,Brittney Perritt,Dooley,2019-02-22,3.99
221,221,Brittney Perritt,Douglas,2019-02-22,2.85
222,222,Brittney Perritt,Donnelly,2019-02-22,1.5
223,223,Brittney Perritt,Bogan,2019-02-22,19.29
224,224,Brittney Perritt,Bins,2019-02-23,35.93
225,225,Brittney Perritt,Conroy,2019-02-23,13.99
226,226,Brittney Perritt,Brown,2019-02-23,2.75
227,227,Brittney Perritt,Berge,2019-02-23,170.0
228,228,Brittney Perritt,Bogan,2019-02-24,31.31
229,229,Brittney Perritt,Bogan,2019-02-25,31.31
230,230,Brittney Perritt,Corkery,2019-02-25,14.99
231,231,Brittney Perritt,Bogan,2019-02-25,47.99
232,232,Brittney Perritt,Berge,2019-02-25,170.0
233,233,Brittney Perritt,Brown,2019-02-25,2.75
234,234,Brittney Perritt,Bednar,2019-02-25,15.4
235,235,Brittney Perritt,Doyle,2019-02-25,20.97
236,236,Brittney Perritt,Bednar,2019-02-25,15.4
237,237,Brittney Perritt,Bogan,2019-02-25,47.99
238,238,Brittney Perritt,Bins,2019-02-25,35.93
239,239,Brittney Perritt,Doyle,2019-02-25,20.97
240,240,Brittney Perritt,Conroy,2019-02-25,13.99
241,241,Brittney Perritt,Corkery,2019-02-25,14.99
242,242,Brittney Perritt,Abernathy,2019-02-27,5.6
243,243,Brittney Perritt,Abernathy,2019-02-27,5.6
244,244,Brittney Perritt,Aufderhar,2019-02-27,26.4
245,245,Brittney Perritt,Aufderhar,2019-02-27,26.4
246,246,Brittney Perritt,Bogan,2019-02-28,12.45
247,247,Brittney Perritt,Bogan,2019-02-28,3.99
248,248,Brittney Perritt,Bogan,2019-02-28,12.45
249,249,Brittney Perritt,Bogan,2019-02-28,3.99
250,250,Brittney Perritt,Crona,2019-02-28,6.0
251,251,Brittney Perritt,Bartoletti,2019-03-01,22.42
252,252,Brittney Perritt,Bechtelar,2019-03-01,28.06
254,254,Brittney Perritt,Bailey,2019-03-01,12.83
255,255,Brittney Perritt,Beatty,2019-03-01,38.1
256,256,Brittney Perritt,Barrows,2019-03-01,24.95
257,257,Brittney Perritt,Balistreri,2019-03-01,152.0
258,258,Brittney Perritt,Barrows,2019-03-01,24.95
259,259,Brittney Perritt,Douglas,2019-03-02,72.0
260,260,Brittney Perritt,Bednar,2019-03-02,52.11
261,261,Brittney Perritt,Abernathy,2019-03-02,4.95
262,262,Brittney Perritt,DuBuque,2019-03-02,22.05
263,263,Brittney Perritt,Brown,2019-03-02,2.45
264,264,Brittney Perritt,Auer,2019-03-02,3.7
265,265,Brittney Perritt,Douglas,2019-03-02,28.8
266,266,Brittney Perritt,Douglas,2019-03-02,8.5
267,267,Brittney Perritt,Bogan,2019-03-03,19.25
268,268,Brittney Perritt,Crist,2019-03-03,41.89
269,269,Brittney Perritt,Douglas,2019-03-04,72.0
270,270,Brittney Perritt,Auer,2019-03-04,3.7
271,271,Brittney Perritt,Douglas,2019-03-04,12.0
272,272,Brittney Perritt,Douglas,2019-03-04,139.9
273,273,Brittney Perritt,Durgan,2019-03-04,26.02
274,274,Brittney Perritt,Bednar,2019-03-04,52.11
275,275,Brittney Perritt,Bogan,2019-03-04,19.25
276,276,Brittney Perritt,Bogan,2019-03-04,21.95
277,277,Brittney Perritt,Bogan,2019-03-04,21.95
278,278,Brittney Perritt,Douglas,2019-03-04,5.1
279,279,Brittney Perritt,Crist,2019-03-04,41.89
280,280,Brittney Perritt,Douglas,2019-03-04,139.9
281,281,Brittney Perritt,DuBuque,2019-03-04,22.05
282,282,Brittney Perritt,Durgan,2019-03-04,26.02
283,283,Brittney Perritt,Brown,2019-03-04,2.45
284,284,Brittney Perritt,Abernathy,2019-03-04,4.95
285,285,Brittney Perritt,Auer,2019-03-06,9.96
286,286,Brittney Perritt,Doyle,2019-03-06,27.72
287,287,Brittney Perritt,Aufderhar,2019-03-06,3.05
288,288,Brittney Perritt,Auer,2019-03-06,9.96
289,289,Brittney Perritt,Bogan,2019-03-06,2.0
290,290,Brittney Perritt,Becker,2019-03-06,44.11
291,291,Brittney Perritt,Bogan,2019-03-06,2.0
292,292,Brittney Perritt,Aufderhar,2019-03-06,3.05
293,293,Brittney Perritt,Abernathy,2019-03-06,5.95
294,294,Brittney Perritt,Aufderhar,2019-03-06,71.05
295,295,Brittney Perritt,Doyle,2019-03-06,27.72
296,296,Brittney Perritt,Aufderhar,2019-03-06,71.05
297,297,Brittney Perritt,Abernathy,2019-03-06,5.95
298,298,Brittney Perritt,Effertz,2019-03-07,21.98
299,299,Brittney Perritt,Emard,2019-03-07,72.0
300,300,Brittney Perritt,Emard,2019-03-07,72.0
301,301,Brittney Perritt,Effertz,2019-03-07,21.98
302,302,Brittney Perritt,Conn,2019-03-08,2.0
303,303,Brittney Perritt,Conn,2019-03-08,1.0
304,304,Brittney Perritt,Blanda,2019-03-08,24.0
305,305,Brittney Perritt,Conn,2019-03-08,5.96
306,306,Brittney Perritt,Boehm,2019-03-08,0.79
307,307,Brittney Perritt,Bednar,2019-03-08,24.88
308,308,Brittney Perritt,Conn,2019-03-08,2.0
309,309,Brittney Perritt,Bednar,2019-03-08,24.88
310,310,Brittney Perritt,Blanda,2019-03-08,24.0
311,311,Brittney Perritt,Conn,2019-03-08,5.96
312,312,Brittney Perritt,Boehm,2019-03-08,0.79
313,313,Brittney Perritt,Conn,2019-03-08,1.0
314,314,Brittney Perritt,Conn,2019-03-08,6.33
315,315,Brittney Perritt,Conn,2019-03-08,6.33
316,316,Brittney Perritt,Bogan,2019-03-09,8.25
317,317,Brittney Perritt,Abernathy,2019-03-09,9.0
318,318,Brittney Perritt,Berge,2019-03-09,13.38
319,319,Brittney Perritt,Aufderhar,2019-03-09,93.33
320,320,Brittney Perritt,Farrell,2019-03-10,42.18
321,321,Brittney Perritt,Feest,2019-03-10,3.49
322,322,Brittney Perritt,Crist,2019-03-10,51.18
323,323,Brittney Perritt,Bednar,2019-03-10,17.4
324,324,Brittney Perritt,Bednar,2019-03-11,17.4
325,325,Brittney Perritt,Aufderhar,2019-03-11,93.33
326,326,Brittney Perritt,Abernathy,2019-03-11,9.0
327,327,Brittney Perritt,Douglas,2019-03-11,100.0
328,328,Brittney Perritt,Farrell,2019-03-11,42.18
329,329,Brittney Perritt,Berge,2019-03-11,13.38
330,330,Brittney Perritt,Feest,2019-03-11,3.49
331,331,Brittney Perritt,Crist,2019-03-11,51.18
332,332,Brittney Perritt,Bogan,2019-03-11,8.25
333,333,Brittney Perritt,Douglas,2019-03-11,100.0
334,334,Brittney Perritt,Feil,2019-03-12,50.15
335,335,Brittney Perritt,Feil,2019-03-12,50.15
336,336,Brittney Perritt,Bednar,2019-03-12,21.6
337,337,Brittney Perritt,Bednar,2019-03-12,21.6
338,338,Brittney Perritt,Ferry,2019-03-13,6.4
339,339,Brittney Perritt,Ferry,2019-03-13,6.4
340,340,Brittney Perritt,Aufderhar,2019-03-14,87.62
341,341,Brittney Perritt,Aufderhar,2019-03-14,87.62
343,343,Brittney Perritt,Berge,2019-03-14,279.99
344,344,Brittney Perritt,Cartwright,2019-03-15,8.67
345,345,Brittney Perritt,Cartwright,2019-03-15,8.67
346,346,Brittney Perritt,Ferry,2019-03-16,10.6
347,347,Brittney Perritt,Cormier,2019-03-16,3.45
348,348,Brittney Perritt,Abernathy,2019-03-16,4.95
349,349,Brittney Perritt,Bogan,2019-03-18,49.75
350,350,Brittney Perritt,Christiansen,2019-03-18,11.27
351,351,Brittney Perritt,Christiansen,2019-03-18,11.27
352,352,Brittney Perritt,Ferry,2019-03-18,10.6
353,353,Brittney Perritt,Abernathy,2019-03-18,4.95
354,354,Brittney Perritt,Christiansen,2019-03-18,13.91
355,355,Brittney Perritt,Auer,2019-03-18,20.99
356,356,Brittney Perritt,Christiansen,2019-03-18,13.91
357,357,Brittney Perritt,Auer,2019-03-18,20.99
358,358,Brittney Perritt,Champlin,2019-03-18,23.0
359,359,Brittney Perritt,Cormier,2019-03-18,3.45
360,360,Brittney Perritt,Champlin,2019-03-18,23.0
361,361,Brittney Perritt,Bogan,2019-03-18,49.75
362,362,Brittney Perritt,Bogan,2019-03-19,17.04
363,363,Brittney Perritt,Bogan,2019-03-19,17.04
364,364,Brittney Perritt,Flatley,2019-03-20,5.0
365,365,Brittney Perritt,Feil,2019-03-20,25.07
366,366,Brittney Perritt,Bogisich,2019-03-20,5.0
367,367,Brittney Perritt,Bogisich,2019-03-20,5.0
368,368,Brittney Perritt,Auer,2019-03-20,20.54
369,369,Brittney Perritt,Feil,2019-03-20,25.07
370,370,Brittney Perritt,Flatley,2019-03-20,58.1
371,371,Brittney Perritt,Flatley,2019-03-20,58.1
372,372,Brittney Perritt,Auer,2019-03-20,20.54
373,373,Brittney Perritt,Flatley,2019-03-20,5.0
374,374,Brittney Perritt,Cole,2019-03-21,115.18
375,375,Brittney Perritt,Cole,2019-03-21,115.18
376,376,Brittney Perritt,Aufderhar,2019-03-22,92.26
377,377,Brittney Perritt,Conroy,2019-03-22,79.0
378,378,Brittney Perritt,Conroy,2019-03-22,79.0
379,379,Brittney Perritt,Aufderhar,2019-03-22,92.26
380,380,Brittney Perritt,Bins,2019-03-23,25.27
381,381,Brittney Perritt,Cremin,2019-03-23,11.4
382,382,Brittney Perritt,Cremin,2019-03-23,15.12
383,383,Brittney Perritt,Bednar,2019-03-24,19.15
384,384,Brittney Perritt,Bogisich,2019-03-24,2.75
385,385,Brittney Perritt,Bednar,2019-03-25,19.15
386,386,Brittney Perritt,Corkery,2019-03-25,14.99
387,387,Brittney Perritt,Cremin,2019-03-25,11.4
388,388,Brittney Perritt,Cremin,2019-03-25,15.12
389,389,Brittney Perritt,Corkery,2019-03-25,14.99
390,390,Brittney Perritt,Bogisich,2019-03-25,2.75
391,391,Brittney Perritt,Bins,2019-03-25,25.27
392,392,Brittney Perritt,Bednar,2019-03-26,13.95
393,393,Brittney Perritt,Bogisich,2019-03-26,2.75
394,394,Brittney Perritt,Bogisich,2019-03-26,2.75
395,395,Brittney Perritt,Bednar,2019-03-26,13.95
396,396,Brittney Perritt,Friesen,2019-03-27,250.0
397,397,Brittney Perritt,Bednar,2019-03-27,10.2
398,398,Brittney Perritt,Funk,2019-03-27,33.5
399,399,Brittney Perritt,Brown,2019-03-27,2.45
400,400,Brittney Perritt,Gerhold,2019-03-27,69.0
401,401,Brittney Perritt,Funk,2019-03-27,33.5
402,402,Brittney Perritt,Auer,2019-03-27,8.99
403,403,Brittney Perritt,Brown,2019-03-27,2.45
404,404,Brittney Perritt,Bednar,2019-03-27,10.2
405,405,Brittney Perritt,Auer,2019-03-27,8.99
406,406,Brittney Perritt,Gerhold,2019-03-27,69.0
407,407,Brittney Perritt,Crona,2019-03-28,10.68
408,408,Brittney Perritt,Gerlach,2019-03-28,73.85
409,409,Brittney Perritt,Bogan,2019-03-28,33.49
410,410,Brittney Perritt,Berge,2019-03-28,10.0
411,411,Brittney Perritt,Bogan,2019-03-28,33.49
412,412,Brittney Perritt,Berge,2019-03-28,10.0
413,413,Brittney Perritt,Gerlach,2019-03-28,73.85
414,414,Brittney Perritt,Crona,2019-03-28,10.68
415,415,Brittney Perritt,Bogan,2019-03-29,4.5
416,416,Brittney Perritt,Aufderhar,2019-03-29,91.42
417,417,Brittney Perritt,Gibson,2019-03-29,241.33
418,418,Brittney Perritt,Bogan,2019-03-29,4.5
419,419,Brittney Perritt,Aufderhar,2019-03-29,91.42
420,420,Brittney Perritt,Feest,2019-03-29,3.99
421,421,Brittney Perritt,Gibson,2019-03-29,241.33
422,422,Brittney Perritt,Feest,2019-03-29,3.99
423,423,Brittney Perritt,Bogan,2019-03-30,38.55
425,425,Brittney Perritt,Doyle,2019-03-30,8.29
426,426,Brittney Perritt,Ferry,2019-03-30,13.73
427,427,Brittney Perritt,Gleason,2019-03-30,13.0
428,428,Brittney Perritt,Glover,2019-03-30,25.6
429,429,Brittney Perritt,Durgan,2019-03-30,8.99
430,430,Brittney Perritt,Berge,2019-03-31,3.97
431,431,Brittney Perritt,Goodwin,2019-03-31,22.0
432,432,Brittney Perritt,Gottlieb,2019-04-01,13.1
433,433,Brittney Perritt,Berge,2019-04-01,3.97
434,434,Brittney Perritt,Daniel,2019-04-01,2.4
435,435,Brittney Perritt,Bednar,2019-04-01,16.6
436,436,Brittney Perritt,Beatty,2019-04-01,38.1
437,437,Brittney Perritt,Bogisich,2019-04-01,3.65
438,438,Brittney Perritt,Doyle,2019-04-01,8.29
439,439,Brittney Perritt,Ferry,2019-04-01,13.73
440,440,Brittney Perritt,Bailey,2019-04-01,12.83
441,441,Brittney Perritt,Bednar,2019-04-01,16.6
442,442,Brittney Perritt,Daniel,2019-04-01,2.4
443,443,Brittney Perritt,Bailey,2019-04-01,12.83
444,444,Brittney Perritt,Goyette,2019-04-01,5.99
445,445,Brittney Perritt,Balistreri,2019-04-01,152.0
446,446,Brittney Perritt,Barrows,2019-04-01,24.95
447,447,Brittney Perritt,Barrows,2019-04-01,24.95
448,448,Brittney Perritt,Bins,2019-04-01,37.19
449,449,Brittney Perritt,Barrows,2019-04-01,24.95
450,450,Brittney Perritt,Barrows,2019-04-01,24.95
452,452,Brittney Perritt,Durgan,2019-04-01,8.99
453,453,Brittney Perritt,Gottlieb,2019-04-01,13.1
454,454,Brittney Perritt,Beatty,2019-04-01,38.1
455,455,Brittney Perritt,Glover,2019-04-01,25.6
456,456,Brittney Perritt,Bins,2019-04-01,37.19
457,457,Brittney Perritt,Gleason,2019-04-01,13.0
458,458,Brittney Perritt,Balistreri,2019-04-01,152.0
459,459,Brittney Perritt,Goodwin,2019-04-01,22.0
460,460,Brittney Perritt,Bogan,2019-04-01,38.55
461,461,Brittney Perritt,Bogisich,2019-04-01,3.65
462,462,Brittney Perritt,Graham,2019-04-02,21.28
463,463,Brittney Perritt,Gottlieb,2019-04-02,4.9
464,464,Brittney Perritt,Graham,2019-04-02,21.28
465,465,Brittney Perritt,Friesen,2019-04-02,2445.0
466,466,Brittney Perritt,Gottlieb,2019-04-02,4.9
467,467,Brittney Perritt,Gottlieb,2019-04-02,11.5
468,468,Brittney Perritt,Gottlieb,2019-04-02,11.5
469,469,Brittney Perritt,Grant,2019-04-03,50.04
470,470,Brittney Perritt,Gerhold,2019-04-03,4.65
471,471,Brittney Perritt,Greenfelder,2019-04-03,2.8
472,472,Brittney Perritt,Becker,2019-04-03,38.56
473,473,Brittney Perritt,Bechtelar,2019-04-03,28.04
474,474,Brittney Perritt,Bednar,2019-04-03,6.2
475,475,Brittney Perritt,Douglas,2019-04-03,5.0
476,476,Brittney Perritt,Gerhold,2019-04-03,2.0
477,477,Brittney Perritt,Douglas,2019-04-03,70.0
478,478,Brittney Perritt,Gerhold,2019-04-03,2.0
479,479,Brittney Perritt,Becker,2019-04-03,38.56
480,480,Brittney Perritt,Bechtelar,2019-04-03,28.04
481,481,Brittney Perritt,Grant,2019-04-03,50.04
482,482,Brittney Perritt,Greenfelder,2019-04-03,2.8
483,483,Brittney Perritt,Douglas,2019-04-03,70.0
484,484,Brittney Perritt,Gerhold,2019-04-03,4.65
485,485,Brittney Perritt,Bednar,2019-04-03,6.2
486,486,Brittney Perritt,Grimes,2019-04-04,59.3
